Line Item Name,Line Item Qty,Shipping State
F*ck Kavanaugh Matte Liquid Lipstick -,1,NY
F*ck Kavanaugh Matte Liquid Lipstick -,2,NY
"""F*ck Trump"" Pink Matte Liquid Lipstick -",1,TX
F*ck Kavanaugh Matte Liquid Lipstick -,2,MO
F*ck Kavanaugh Matte Liquid Lipstick -,1,MN
"""F*ck Trump"" Pink Matte Liquid Lipstick -",1,AZ
F*ck Kavanaugh Matte Liquid Lipstick -,1,MO
"""F*ck Trump"" Pink Matte Liquid Lipstick -",2,AZ
"""F*ck Trump"" Pink Matte Liquid Lipstick -",1,IN
F*ck Kavanaugh Matte Liquid Lipstick -,1,TX
F*ck Kavanaugh Matte Liquid Lipstick -,1,NC
F*ck Kavanaugh Matte Liquid Lipstick -,1,IN
F*ck Kavanaugh Matte Liquid Lipstick -,1,CA
F*ck Kavanaugh Matte Liquid Lipstick -,1,CO
F*ck Kavanaugh Matte Liquid Lipstick -,1,MN
F*ck Kavanaugh Matte Liquid Lipstick -,1,MD
F*ck Kavanaugh Matte Liquid Lipstick -,1,NY
F*ck Kavanaugh Matte Liquid Lipstick -,1,FL
"""F*ck Trump"" Pink Matte Liquid Lipstick -",1,CA
F*ck Kavanaugh Matte Liquid Lipstick -,1,CA
"""F*ck Trump"" Pink Matte Liquid Lipstick -",1,IL
F*ck Kavanaugh Matte Liquid Lipstick -,1,IL
F*ck Kavanaugh Matte Liquid Lipstick -,1,TX
F*ck Kavanaugh Matte Liquid Lipstick -,1,VT
F*ck Kavanaugh Matte Liquid Lipstick -,1,FL
F*ck Kavanaugh Matte Liquid Lipstick -,1,WI
F*ck Kavanaugh Matte Liquid Lipstick -,1,NY
"""F*ck Trump"" Pink Matte Liquid Lipstick -",1,HI
F*ck Kavanaugh Matte Liquid Lipstick -,1,HI
F*ck Kavanaugh Matte Liquid Lipstick -,2,NE
F*ck Kavanaugh Matte Liquid Lipstick -,1,UT
F*ck Kavanaugh Matte Liquid Lipstick -,1,CA
F*ck Kavanaugh Matte Liquid Lipstick -,1,WI
