Line Item Name,Line Item Qty,Shipping State
F*ck Kavanaugh,752,NY
F*ck Kavanaugh,160,MO
F*ck Kavanaugh,288,MN
F*ck Kavanaugh,593,TX
F*ck Kavanaugh,184,NC
F*ck Kavanaugh,123,IN
F*ck Kavanaugh,1692,CA
F*ck Kavanaugh,248,CO
F*ck Kavanaugh,235,MD
F*ck Kavanaugh,323,FL
F*ck Kavanaugh,502,IL
F*ck Kavanaugh,38,VT
F*ck Kavanaugh,189,WI
F*ck Kavanaugh,30,HI
F*ck Kavanaugh,39,NE
F*ck Kavanaugh,72,UT
F*ck Kavanaugh,76,LA
F*ck Kavanaugh,351,MA
F*ck Kavanaugh,296,VA
F*ck Kavanaugh,307,OH
F*ck Kavanaugh,232,MI
F*ck Kavanaugh,391,WA
F*ck Kavanaugh,48,RI
F*ck Kavanaugh,70,KY
F*ck Kavanaugh,187,GA
F*ck Kavanaugh,21,AK
F*ck Kavanaugh,389,PA
F*ck Kavanaugh,117,TN
F*ck Kavanaugh,21,MS
F*ck Kavanaugh,90,CT
F*ck Kavanaugh,27,WV
F*ck Kavanaugh,62,NV
F*ck Kavanaugh,234,OR
F*ck Kavanaugh,22,MT
F*ck Kavanaugh,24,AR
F*ck Kavanaugh,38,NH
F*ck Kavanaugh,55,OK
F*ck Kavanaugh,38,DE
F*ck Kavanaugh,164,AZ
F*ck Kavanaugh,51,NM
F*ck Kavanaugh,238,NJ
F*ck Kavanaugh,11,WY
F*ck Kavanaugh,46,AL
F*ck Kavanaugh,96,DC
F*ck Kavanaugh,81,SC
F*ck Kavanaugh,84,KS
F*ck Kavanaugh,7,AP
F*ck Kavanaugh,39,ID
F*ck Kavanaugh,59,IA
F*ck Kavanaugh,12,ND
F*ck Kavanaugh,12,SD
F*ck Kavanaugh,13,AE
F*ck Kavanaugh,22,ME
F*ck Trump.,1361,TX
F*ck Trump.,377,AZ
F*ck Trump.,317,IN
F*ck Trump.,3576,CA
F*ck Trump.,1307,IL
F*ck Trump.,42,HI
F*ck Trump.,885,WA
F*ck Trump.,815,FL
F*ck Trump.,232,KS
F*ck Trump.,650,OH
F*ck Trump.,1306,NY
F*ck Trump.,151,LA
F*ck Trump.,206,CT
F*ck Trump.,600,MI
F*ck Trump.,65,RI
F*ck Trump.,123,DC
F*ck Trump.,135,KY
F*ck Trump.,538,NJ
F*ck Trump.,405,MO
F*ck Trump.,793,PA
F*ck Trump.,113,OK
F*ck Trump.,193,NV
F*ck Trump.,542,CO
F*ck Trump.,626,MA
F*ck Trump.,412,OR
F*ck Trump.,14,AE
F*ck Trump.,573,MN
F*ck Trump.,374,NC
F*ck Trump.,319,TN
F*ck Trump.,70,AR
F*ck Trump.,527,VA
F*ck Trump.,1761,WI
F*ck Trump.,408,GA
F*ck Trump.,175,UT
F*ck Trump.,54,ND
F*ck Trump.,138,SC
F*ck Trump.,46,DE
F*ck Trump.,37,WV
F*ck Trump.,100,AL
F*ck Trump.,439,MD
F*ck Trump.,116,NH
F*ck Trump.,20,WY
F*ck Trump.,132,IA
F*ck Trump.,102,NM
F*ck Trump.,100,ID
F*ck Trump.,48,AK
F*ck Trump.,92,NE
F*ck Trump.,55,VT
F*ck Trump.,77,ME
F*ck Trump.,39,MS
F*ck Trump.,66,MT
F*ck Trump.,11,AP
F*ck Trump.,36,SD
F*ck Trump.,1,AA
F*ck Trump.,1,ON
F*ck Hollywood.,15,AZ
F*ck Hollywood.,58,TX
F*ck Hollywood.,61,IL
F*ck Hollywood.,74,NY
F*ck Hollywood.,7,AR
F*ck Hollywood.,27,PA
F*ck Hollywood.,14,IN
F*ck Hollywood.,34,FL
F*ck Hollywood.,204,CA
F*ck Hollywood.,22,MD
F*ck Hollywood.,20,MO
F*ck Hollywood.,9,LA
F*ck Hollywood.,18,CO
F*ck Hollywood.,28,MN
F*ck Hollywood.,7,DC
F*ck Hollywood.,27,OH
F*ck Hollywood.,22,MI
F*ck Hollywood.,47,WA
F*ck Hollywood.,5,ME
F*ck Hollywood.,9,UT
F*ck Hollywood.,4,SC
F*ck Hollywood.,14,WI
F*ck Hollywood.,21,NC
F*ck Hollywood.,37,MA
F*ck Hollywood.,19,VA
F*ck Hollywood.,26,OR
F*ck Hollywood.,5,NE
F*ck Hollywood.,11,NV
F*ck Hollywood.,3,ID
F*ck Hollywood.,4,IA
F*ck Hollywood.,7,KY
F*ck Hollywood.,14,NJ
F*ck Hollywood.,2,DE
F*ck Hollywood.,3,NH
F*ck Hollywood.,8,KS
F*ck Hollywood.,11,TN
F*ck Hollywood.,4,MT
F*ck Hollywood.,9,NM
F*ck Hollywood.,8,CT
F*ck Hollywood.,13,GA
F*ck Hollywood.,3,SD
F*ck Hollywood.,5,AK
F*ck Hollywood.,2,WV
F*ck Hollywood.,3,OK
F*ck Hollywood.,1,MS
F*ck Hollywood.,4,ND
F*ck Hollywood.,1,WY
F*ck Hollywood.,2,HI
F*ck Hollywood.,3,AL
F*ck Hollywood.,1,AE
F*ck Hollywood.,1,RI
F*ck Hollywood.,1,ON
BATCH—001: "02",1,DC
BATCH—001: "02",32,CA
BATCH—001: "02",6,FL
BATCH—001: "02",11,IL
BATCH—001: "02",11,TX
BATCH—001: "02",7,WA
BATCH—001: "02",14,NY
BATCH—001: "02",6,MO
BATCH—001: "02",8,MA
BATCH—001: "02",1,MS
BATCH—001: "02",4,MI
BATCH—001: "02",1,HI
BATCH—001: "02",7,OR
